obj,n,att.M,att.SD,ex.M,ex.SD,cert.M,cert.SD,know.M,know.SD,imp.M,imp.SD,cogaff.M,cogaff.SD,moral.M,moral.SD,self.M,self.SD,conabs.M,conabs.SD,stab.M,stab.SD,resp.time.M,resp.time.SD,cor.ideo,cor.age,cor.big5.EX,cor.big5.AG,cor.big5.CO,cor.big5.ES,cor.big5.OP,gender.diff
2020 ELECTION,36,4.833333333333333,1.8439088914585775,1.7777777777777777,0.9292427365828928,5.611111111111111,1.2711699398086063,5.527777777777778,1.2758439472669758,5.777777777777778,1.5139562384902319,3.611111111111111,1.419814430083388,3.361111111111111,0.99002966125199,2.861111111111111,1.1748015705465882,3.8055555555555554,1.968602759674187,2.611111111111111,1.0764432909959347,36.57952777777778,28.66921462523481,-0.5163657217085726,-0.36220611965861826,-0.16811850574006382,0.03808715433125719,-0.14351471661007842,-0.07950592320996083,0,0.4145017070364342
3D PRINTERS,70,5.5,1.1887150534341144,1.6714285714285715,0.928165224100652,5.414285714285715,1.345877841247517,4.314285714285714,1.4500660369056173,5.428571428571429,1.136628992168733,2.8,1.4803054913855067,1.8428571428571427,1.0852865017543842,1.9,1.2294690735836142,2.7,1.7224014243685084,3.1714285714285713,1.0351983436839751,44.654114285714286,69.83325885725533,0.055624210384511354,-0.041285190087727935,-0.09677682185535973,0.11299874918849327,-0.07714615269015103,0.08180588290545203,0.14424609189298396,-0.2181637870396255
5G,33,5,1.541103500742244,1.5454545454545454,0.9711754826918862,5.484848484848484,0.9721500694726908,4.242424242424242,1.561855927860806,5.212121212121212,1.1661254155743648,3.0303030303030303,1.42488702369803,1.696969696969697,1.237054174360618,1.5454545454545454,1.1205720941473682,3.909090909090909,2.126670466416288,3,1.346291201783626,43.21633333333333,52.693312372555084,-0.418380061722474,-0.026601014019076576,0.07310355363903914,-0.19471272530677403,0,0.22026517294271297,-0.09581491903967414,0.4361396080413019
ABOLISHING THE DEATH PENALTY,32,5.59375,1.738730998133687,2.15625,0.9196554403863755,5.8125,1.1482806221027917,5.28125,1.1425600852415145,5.96875,0.89746506805953,4,1.8491497610279373,3.96875,0.89746506805953,3.09375,1.1738927521491846,3.90625,2.190291997031004,2.84375,0.9540871333712221,51.865625,79.31924993534956,-0.502960539054334,0.027187222803274295,0.029410889403208025,0.20647955871856744,-0.185191317152359,-0.06803536003706603,-0.05664151842202608,0.691709883024648
ABOLISHING THE MINIMUM WAGE,33,3.878787878787879,2.0426327337160943,1.696969696969697,1.1035411321301214,5.393939393939394,1.4128737102841573,4.575757575757576,1.601372517371876,5.363636363636363,1.6736595722058785,3.5757575757575757,1.4583874448835397,3.090909090909091,1.4440316037840977,2.6666666666666665,1.3385315336840842,4.575757575757576,1.7505410419050276,3.0606060606060606,1.2975793313752038,41.94860606060606,21.537838286576303,0.35651287122142955,0.2877483150734358,0.1175991206876663,0.14466995032074256,0.1243149302540464,0.24046899926286575,-0.037753521076065076,0.032833874828003616
ABORTION BANS,33,3.3333333333333335,2.286737122335374,2.1818181818181817,0.882274951990076,6.212121212121212,0.9272801544562921,5.363636363636363,0.9623597890790968,5.878787878787879,1.6155025486976133,3.0303030303030303,1.4680950344930093,4.0606060606060606,0.7474704818333104,3.121212121212121,1.192622524040396,3.4545454545454546,1.8889631595618317,2.9393939393939394,1.0289373747765804,41.48618181818182,27.92912078308068,0.48666901557851633,0.37019869579673387,0.28256957760674245,-0.19723037149852463,0.2930923102034938,0.01809010342164523,-0.24112254391635632,0.2662376742225665
ACADEMIA,34,5.647058823529412,1.276414318153182,1.8235294117647058,0.9991083368712844,5.705882352941177,1.4674118994711225,5.352941176470588,1.345753206722776,6.0588235294117645,0.9829200920259886,3.0588235294117645,1.3013088159930006,3.0588235294117645,1.099343508523437,3.1176470588235294,1.1218141660600054,3.6176470588235294,1.8425066240142915,2.4705882352941178,0.9919461775980272,43.95591176470588,58.81496646436262,-0.4746300409603903,0.33758941049811364,0.21298574430639677,0.3447337205147194,0.14130609696172808,0.06077460197214411,0.08181438832903584,-0.15118029278121473
ACADEMIC JOURNALS,34,5.294117647058823,1.360245338047201,1.588235294117647,0.9883456351267775,5.264705882352941,1.355322247925535,4.470588235294118,1.4404396239205681,5.235294117647059,1.207522470571064,3.0294117647058822,1.8502300285762514,2.735294117647059,1.2864992086681373,2.4705882352941178,1.3311033044546636,3.5588235294117645,1.8779611199155426,2.4411764705882355,1.2837250831570441,34.4990294117647,29.316764187980468,-0.18538126922200956,0.030594074726226977,0.27247309081293103,0.17618793030574606,0.03083695315015357,0.3314394938591527,0.24954229929250651,0.08525122857562976
ACTIVISTS,32,4.59375,1.2664243542988622,1.03125,0.9327162898863485,5.5,1.2181424250644648,5.125,1.2889105176778741,4.96875,1.3316101095557091,3.71875,1.5705839267507298,3.21875,1.2885194053891917,2.625,1.237844119635477,3.8125,1.8740589036083013,3.15625,1.1103435969220548,25.48925,14.222759076281067,0.27620975046462426,0.20863844420148175,0.14568938796077582,0.021028868859944202,0.09611168669113222,-0.003650589307717901,0.201515439061609,-0.03171684099153615
ACUPUNCTURE,35,4.514285714285714,1.0674716850199484,0.8571428571428571,0.8096061912275311,4.685714285714286,1.4301671759834595,3.6857142857142855,1.7110613935323813,3.8285714285714287,1.382361880893675,3.914285714285714,1.5023790657297036,2,1.137592917989042,1.9428571428571428,1.186761712116016,3.1714285714285713,1.5240370978523627,2.5428571428571427,1.0387452029437514,85.01422857142857,180.38161820805905,-0.08688090148712524,0.12697009177974425,0.13416237703728837,-0.3149048040862948,-0.15038926270391584,-0.13024869809919967,-0.17243994777012875,0.37852817872590655
